Location,Latitude,Longitude,Paleolatitude,Paleolongitude,Age,SampleType,Method,Temp_C,SE+,SE-,Reference,Marine/Terrestrial,TimePeriod,Stage
Jamaica,18.1,-78,18,-78,Maastrichtian,Rudist,?18O,32,1.6,1.6,"Upchurch et al., 2015",Marine,Latest Cretaceous,Maastrichtian
Israel,32,34.5,18,29,Maastrichtian,Fish tooth enamel,?18O,28.6,2.7,2.7,"Recalculated from Pucéat et al., 2007",Marine,Latest Cretaceous,Maastrichtian
"Aderet 1 borehole, Israel",32,34.5,19,29,Maastrichtian,GDGTs,TEX86,28,2.5,2.5,"Recalculated from Alsenz et al., 2013",Marine,Latest Cretaceous,Maastrichtian
"PAMA Quarry (Efe syncline), Israel",32,34.5,19,29,Maastrichtian,GDGTs,TEX86,26.6,2.5,2.5,"Recalculated from Alsenz et al., 2013",Marine,Latest Cretaceous,Maastrichtian
Morocco,31.7,-8,23,-10,Maastrichtian,Fish tooth enamel,?18O,29.5,2.7,2.7,"Recalculated from Pucéat et al., 2007",Marine,Latest Cretaceous,Maastrichtian
Tunisia,36,9,25,7,Maastrichtian,Fish tooth enamel,?18O,26.9,2.7,2.7,"Recalculated from Ounis et al., 2008",Marine,Latest Cretaceous,Maastrichtian
"El Kef, Tunishia",36.2,8.7,25.9,7,Maastrichtian,Fish tooth enamel,?18O,20.7,0.3,0.3,"MacLeod et al., 2018",Marine,Latest Cretaceous,Maastrichtian
"Corsicana Fm., Brazos River, USA",31,-97,36,-77,K-Pg boundary,GDGTs,TEX86,29.7,2.5,2.5,"Vellekoop et al., 2014",Marine,Latest Cretaceous,Maastrichtian
"Mullinax?1 and Mullinax?3 cores, Falls County, Texas, USA",31,-97,36,-77,Upper Maastrichtian,Very well preserved foraminifera,?18O,28,2.9,2.9,"Upchurch et al., 2015",Marine,Latest Cretaceous,Maastrichtian
"Shuqualak Core, Mississippi, USA",33,-88.5,36,-67,Maastrichtian,GDGTs,TEX86,29.4,2.5,2.5,"Linnert et al., 2014",Marine,Latest Cretaceous,Maastrichtian
"New Jersey,USA",40,-75,40,-52,Middle Maastrichtian,Fish tooth enamel,?18O,21.3,2.7,2.7,"Recalculated from Pucéat et al., 2007",Marine,Latest Cretaceous,Maastrichtian
"Maastricht, The Netherlands",50.9,5.7,44,4,Maastrichtian,Fish tooth enamel,?18O,16.4,2.7,2.7,"Recalculated from Pucéat et al., 2007",Marine,Latest Cretaceous,Maastrichtian
South Netherlands,50.9,5.7,44,4,Uppermost Maastrichtian,Mollusc,?18O,19.8,1.6,1.6,"Zakharov et al., 2006",Marine,Latest Cretaceous,Maastrichtian
"Eben-Emael, Belqium",50.8,5.6,44,4.1,Upper Maastrichtian,Fish tooth enamel,?18O,20.7,2.7,2.7,"Recalculated from Pucéat et al., 2007",Marine,Latest Cretaceous,Maastrichtian
"Nasilov, Poland",51.3,22,44,19,K-Pg boundary,Fish tooth enamel,?18O,19.5,2.7,2.7,"Recalculated from Pucéat et al., 2007",Marine,Latest Cretaceous,Maastrichtian
"California, USA",/,/,48.4,/,Maastrichtian,Fish tooth enamel,?18O,16.4,2.7,2.7,"Recalculated from Pucéat et al., 2007",Marine,Latest Cretaceous,Maastrichtian
"Fox Hills, South Dakota, USA",45.5,-100.7,50,-78,"Upper, but not uppermost, Maastrichtian",Fish otolith,?18O,19,1.6,1.6,"Carpenter et al., 2003",Marine,Latest Cretaceous,Maastrichtian
"Krasnoyarka Formation, Sakhalin, Russia",47.3,142.5,51,136,Maastrichtian,Mollusc,?18O,8.3,1.6,1.6,"Zakharov et al., 2006",Marine,Latest Cretaceous,Maastrichtian
"Koryak Upland, Russia",60,168,70,168,Maastrichtian,Mollusc,?18O,14.7,1.6,1.6,"Zakharov et al., 2006",Marine,Latest Cretaceous,Maastrichtian
"King George Island, James Ross Basin, Antarctica",-64,-57.7,-63,-67,Lower Paleocene,Plant fossil,CLAMP,14.2,0.7,0.7,"Poole et al., 2005",Terrestrial,Latest Cretaceous,Maastrichtian
"Seymour Island, Antarctic Peninsula",-64.2,-56.6,-63,-67,Uppermost Maastrichtian to Paleocene,GDGTs,MBT/CBT,11,5,5,"Kemp et al., 2014",Terrestrial,Latest Cretaceous,Maastrichtian
"King George Island, James Ross Basin, Antarctica",-64,-57.7,-63,-67,Upper Maastrichtian to Lower Paleocene,Plant fossil,Wood anatomy,11.9,5.4,5.4,"Poole et al., 2005",Terrestrial,Latest Cretaceous,Maastrichtian
Southern New Zealand,-43.6,172,-55.3,-160,Danian,GDGTs,MBT/CBT,14.5,4.9,4.9,"Pancost et al., 2013",Terrestrial,Latest Cretaceous,Maastrichtian
Madagascar,-20,45,-33,36,Lower Maastrichtian,Crocodile/dinosaur,?18O,27.5,2.3,-2.1,"Upchurch et al., 2015 calculated from data in Amiot et al., 2004",Terrestrial,Latest Cretaceous,Maastrichtian
"Lameta Formation, India",16,76,-25,58,"Maastrichtian, not Uppermost Maastrichtian",Crocodile,?18O,18,2.1,3,"Upchurch et al., 2015 calculated from data in Amiot et al., 2004",Terrestrial,Latest Cretaceous,Maastrichtian
Bolivia,-18,-65,-21,-51,Middle Maastrichtian,Crocodile,?18O,25,3,2.5,"Upchurch et al., 2015 calculated from data in Amiot et al., 2004",Terrestrial,Latest Cretaceous,Maastrichtian
"Ripley, USA",35,-88.4,38,-68,Lower Maastrichtian,Plant fossil,CLAMP/Leaf margin analysis,19.9,2.8,2.8,"Spicer and Herman, 2010/Upchurch et al., 2015",Terrestrial,Latest Cretaceous,Maastrichtian
"Vermejo, USA",37,-104.5,43,-85,Upper Maastrichtian,Plant fossil,CLAMP/Leaf margin analysis,20.5,2.8,2.8,"Wolfe, 1990/Upchurch et al., 2015",Terrestrial,Latest Cretaceous,Maastrichtian
"Zaisan, Kazakhstan",48,84.9,45,67,Maastrichtian,Plant fossil,CLAMP,11,2.8,2.8,"Goloneva, 2000",Terrestrial,Latest Cretaceous,Maastrichtian
"Laramie, USA",39.6,-105,46,-84,Upper Maastrichtian,Plant fossil,CLAMP/Leaf margin analysis,21.4,3.1,3.1,"Wolfe, 1990/Upchurch et al., 2015",Terrestrial,Latest Cretaceous,Maastrichtian
"Medicine Bow, USA",41.9,-107,48,-86,Upper Maastrichtian,Plant fossil,CLAMP/Leaf margin analysis,18.6,2.8,2.8,"Spicer and Herman, 2010/Upchurch et al., 2015",Terrestrial,Latest Cretaceous,Maastrichtian
"Lance, USA",43.1,-104.6,49,-84,Upper Maastrichtian,Plant fossil,CLAMP/Leaf margin analysis,16.7,2.8,2.8,"Spicer and Herman, 2010/Upchurch et al., 2015",Terrestrial,Latest Cretaceous,Maastrichtian
"North Dakota, USA",46.3,-103.9,52,-80,Upper Maastrichtian,Plant fossil,CLAMP/Leaf margin analysis/Digital Leaf Physiognomy,14.8,3.4,3.4,"Wilf et al., 2003/Peppe et al., 2011/Goloneva, 2000",Terrestrial,Latest Cretaceous,Maastrichtian
"Sakhalin, Russia",49,143,53,136,Maastrichtian,Plant fossil,CLAMP,14,2.8,2.8,"Goloneva, 2000",Terrestrial,Latest Cretaceous,Maastrichtian
"Montana, USA",47.5,-107,53.9,-81.9,Upper Maastrichtian,Bivalve,Clumped isotope thermometry,11.7,2.8,2.8,"Tobin et al., 2014",Terrestrial,Latest Cretaceous,Maastrichtian
"Willliston Basin, USA",48.2,-103.6,53.9,-77.9,Lower Paleocene,Plant fossil,Digital Leaf Physiognomy,12.4,3.3,3.3,"Peppe et al., 2011",Terrestrial,Latest Cretaceous,Maastrichtian
"Edmonton, Alberta, Canada",53,-113.5,60,-88,Maastrichtian,Plant fossil,CLAMP,12,2.8,2.8,"Goloneva, 2000",Terrestrial,Latest Cretaceous,Maastrichtian
"Lower Atanikerdluk flora, Greenland",70,-52,61,-19,Maastrichtian,Plant fossil,Leaf margin analysis,24,2,2,"Upchurch et al., 2015",Terrestrial,Latest Cretaceous,Maastrichtian
"Koryak, NE Russia",60,168,70,168,Maastrichtian,Plant fossil,CLAMP,4,2.8,2.8,"Goloneva, 2000",Terrestrial,Latest Cretaceous,Maastrichtian
"Cantwell Formation, Sable Mountain, USA",63.5,-149.8,74,-132,Lower Maastrichtian,Plant fossil,CLAMP/Leaf margin analysis,7.5,2.8,2.8,"Tomisch et al., 2010",Terrestrial,Latest Cretaceous,Maastrichtian
"Kakanut, NE Russia",63,174,75,174,Maastrichtian,Plant fossil,CLAMP,10,2.8,2.8,"Goloneva, 2000",Terrestrial,Latest Cretaceous,Maastrichtian
"Raryktin, NE Russia",63,177,75,179,Maastrichtian,Plant fossil,CLAMP,11,2.8,2.8,"Goloneva, 2000",Terrestrial,Latest Cretaceous,Maastrichtian
"Prince Creek Formation,North Slope, USA",70,-151,81,-132,Maastrichtian,Plant fossil,CLAMP (Extrapolation),6,2.8,2.8,"Spicer and Herman, 2010",Terrestrial,Latest Cretaceous,Maastrichtian
"ODP Site 693A, Antarctic shelf",/,/,-70,/,Upper Aptian-Lower Albian,GDGTs,TEX86,25.7,/,/,Jenkyns et al. 2012,Marine,Early Cretaceous,Aptian-Albian
"RNT Locality, Antlers Formation, Texas",/,/,30,/,Albian,Paleosol,Phyllosilicate stable isotopes,31,3,3,Andrzejewski and Tabor 2020,Terrestrial,Early Cretaceous,Aptian-Albian
"JR Locality, Twin Mountains Formation, Texas",/,/,30,/,Aptian,Paleosol,Phyllosilicate stable isotopes,27.5,3,3,Andrzejewski and Tabor 2020,Terrestrial,Early Cretaceous,Aptian-Albian
"PL Locality, Twin Mountains Formation, Texas",/,/,30,/,Aptian,Paleosol,Phyllosilicate stable isotopes,29.5,3,3,Andrzejewski and Tabor 2020,Terrestrial,Early Cretaceous,Aptian-Albian
"Dean Locality, Antlers Formation, Oklahoma",/,/,30,/,Albian,Paleosol,Phyllosilicate stable isotopes,27,3,3,Andrzejewski and Tabor 2020,Terrestrial,Early Cretaceous,Aptian-Albian
"Cross Locality, Antlers Formation, Oklahoma",/,/,30,/,Albian,Paleosol,Phyllosilicate stable isotopes,26,3,3,Andrzejewski and Tabor 2020,Terrestrial,Early Cretaceous,Aptian-Albian
"DSDP 534, North Atlantic ocean",28.343,-75.382,15,/,Berriasian-Barremian,GDGTs,TEX86,36.1,/,/,Littler et al. 2011,Marine,Early Cretaceous,Berriasian-Barremian
"DSDP 603, North Atlantic ocean",35.495,-70.028,20,/,Berriasian-Barremian,GDGTs,TEX86,35.6,/,/,Littler et al. 2011,Marine,Early Cretaceous,Berriasian-Barremian
"ODP 766, Indian ocean",-19.932,110.4541,-53,/,Valanginian-Barremian,GDGTs,TEX86,26.1,/,/,Littler et al. 2011,Marine,Early Cretaceous,Berriasian-Barremian
"ODP 692, Weddell sea",-70.7239,-13.8199,-59,/,Valanginian-Hauterivian,GDGTs,TEX86,29,/,/,Littler et al. 2011,Marine,Early Cretaceous,Berriasian-Barremian
"DSDP 249, Indian ocean",-29.95,36.077,-61,/,Berriasian-Barremian,GDGTs,TEX86,24,/,/,Littler et al. 2011,Marine,Early Cretaceous,Berriasian-Barremian
"Gott section, NW Germany",52.254,10.123,33,/,Barremian,GDGTs,TEX86,28.95,/,/,Mutterlose et al. 2010,Marine,Early Cretaceous,Berriasian-Barremian
"A39 section, NW Germany",52.464,10.736,33,/,Barremian-Aptian,GDGTs,TEX86,29.87,/,/,Mutterlose et al. 2010,Marine,Early Cretaceous,Berriasian-Barremian
"Moorberg section, NW Germany",/,/,40,/,Lower Hauterivian-Lower Barremian,GDGTs,TEX86,26.77,/,/,Mutterlose et al. 2012,Marine,Early Cretaceous,Berriasian-Barremian
"Speeton Section, NE England",/,/,41,/,Upper Hauterivian,GDGTs,TEX86,23.23,/,/,Mutterlose et al. 2012,Marine,Early Cretaceous,Berriasian-Barremian
"DSDP Site 511, Falkland Plateau",-51,-47,-53,/,Hauterivian-Lower Aptian,Belemnites,Clumped isotope thermometry,25.7,3,3,Vickers et al. 2019,Marine,Early Cretaceous,Berriasian-Barremian
"DSDP Site 511, Falkland Plateau",-51,-47,-53,/,Hauterivian-Lower Aptian,GDGTs,TEX86,27.3,/,/,Jenkyns et al. 2012,Marine,Early Cretaceous,Berriasian-Barremian
"Río Guanaco, Argentina",-50.00,-72.00,-60,/,Berriasian,Belemnites,?18O,24.9,/,/,Gómez Dacal et al 2019,Marine,Early Cretaceous,Berriasian-Barremian
